['4-GB14', '5', '1', 'Coesite', '0.31', 'Sylvite', '0.21', 'Zeolites', '0.28', 'None', '0.00']
['4-GB14', '6', '1', 'Bitumens', '0.3', 'Coesite', '0.3', 'Zeolites', '0.2', 'None', '0.00']
['4-GB14', '7', '1', 'Bitumens', '0.22', 'Sylvite', '0.24', 'Zeolites', '0.33', 'None', '0.00']
['4-GB14', '8', '1', 'Coesite', '0.26', 'Zeolites', '0.54', 'None', '0.00', 'None', '0.00']
['4-GB14', '8', '2', 'Sylvite', '0.52', 'Zeolites', '0.28', 'None', '0.00', 'None', '0.00']
['4-GB14', '8', '3', 'Bitumens', '0.46', 'Sylvite', '0.34', 'None', '0.00', 'None', '0.00']
['4-GB14', '8', '4', 'Bitumens', '0.23', 'Coesite', '0.48', 'Euxenite', '0.29', 'None', '0.00']
['4-GB14', '8', '5', 'Bitumens', '0.33', 'Coesite', '0.19', 'Sylvite', '0.27', 'None', '0.00']
['4-GB14', '8', '6', 'Sylvite', '0.51', 'Zeolites', '0.29', 'None', '0.00', 'None', '0.00']
['4-GB14', '8', '7', 'Coesite', '0.29', 'Sylvite', '0.18', 'Zeolites', '0.34', 'None', '0.00']
['4-GB14', '8', '8', 'Bitumens', '0.29', 'Sylvite', '0.32', 'Zeolites', '0.2', 'None', '0.00']
['4-GB14', '8', '9', 'Bitumens', '0.2', 'Coesite', '0.32', 'Zeolites', '0.28', 'None', '0.00']
['4-GB14', '8', '10', 'Bitumens', '0.22', 'Sylvite', '0.25', 'Zeolites', '0.32', 'None', '0.00']
['4-GB14', '8', '11', 'Coesite', '0.17', 'Sylvite', '0.32', 'Zeolites', '0.31', 'None', '0.00']
['4-GB14', '8', '12', 'Coesite', '0.43', 'Euxenite', '0.17', 'Otavite', '0.1', 'None', '0.00']
['4-GB14', '8', '13', 'Bitumens', '0.3', 'Sylvite', '0.5', 'None', '0.00', 'None', '0.00']
['4-GB14', '8', '14', 'Bitumens', '0.66', 'Euxenite', '0.34', 'None', '0.00', 'None', '0.00']
['4-GB14', '8', '15', 'Coesite', '0.2', 'Sylvite', '0.28', 'Zeolites', '0.32', 'None', '0.00']
['4-GB14', '8', '16', 'Coesite', '0.23', 'Sylvite', '0.32', 'Zeolites', '0.25', 'None', '0.00']
['4-GB14', '8', '17', 'Bitumens', '0.29', 'Coesite', '0.28', 'Zeolites', '0.23', 'None', '0.00']
['4-GB14', '9', '1', 'Bitumens', '0.2', 'Coesite', '0.33', 'Zeolites', '0.27', 'None', '0.00']
['4-GB14', '9', '2', 'Sylvite', '0.3', 'Zeolites', '0.5', 'None', '0.00', 'None', '0.00']
['4-GB14', '9', '3', 'Euxenite', '0.58', 'Zeolites', '0.42', 'None', '0.00', 'None', '0.00']
['4-GB14', '10', '1', 'Bitumens', '0.27', 'Sylvite', '0.25', 'Vanadinite', '0.28', 'None', '0.00']
['4-GB14', '10', '2', 'Bitumens', '0.26', 'Coesite', '0.54', 'None', '0.00', 'None', '0.00']
['4-GB14', '10', '3', 'Sylvite', '0.3', 'Zeolites', '0.5', 'None', '0.00', 'None', '0.00']
['4-GB14', '10', '4', 'Bitumens', '0.31', 'Coesite', '0.32', 'Sylvite', '0.17', 'None', '0.00']
['4-GB14', '10', '5', 'Bitumens', '0.31', 'Coesite', '0.3', 'Sylvite', '0.19', 'None', '0.00']
['4-GB14', '10', '6', 'Coesite', '0.18', 'Sylvite', '0.3', 'Zeolites', '0.32', 'None', '0.00']
['4-GB14', '10', '7', 'Coesite', '0.19', 'Sylvite', '0.26', 'Zeolites', '0.35', 'None', '0.00']
['4-GB14', '10', '8', 'Coesite', '0.23', 'Euxenite', '0.32', 'Sylvite', '0.45', 'None', '0.00']
['4-GB14', '10', '9', 'Bitumens', '0.22', 'Coesite', '0.31', 'Zeolites', '0.27', 'None', '0.00']
['4-GB14', '10', '10', 'Bitumens', '0.36', 'Sylvite', '0.44', 'None', '0.00', 'None', '0.00']
['4-GB14', '10', '11', 'Bitumens', '0.25', 'Coesite', '0.55', 'None', '0.00', 'None', '0.00']
['4-GB14', '10', '12', 'Bitumens', '0.27', 'Sylvite', '0.53', 'None', '0.00', 'None', '0.00']
['4-GB14', '10', '13', 'Coesite', '0.2', 'Sylvite', '0.26', 'Zeolites', '0.34', 'None', '0.00']
['4-GB14', '10', '14', 'Bitumens', '0.55', 'Sylvite', '0.25', 'None', '0.00', 'None', '0.00']
['4-GB14', '10', '15', 'Bitumens', '0.3', 'Sylvite', '0.29', 'Zeolites', '0.21', 'None', '0.00']
['4-GB14', '10', '16', 'Coesite', '0.46', 'Zeolites', '0.34', 'None', '0.00', 'None', '0.00']
['4-GB14', '10', '17', 'Sylvite', '0.49', 'Zeolites', '0.31', 'None', '0.00', 'None', '0.00']
['4-GB14', '10', '18', 'Coesite', '0.18', 'Sylvite', '0.28', 'Zeolites', '0.34', 'None', '0.00']
['4-GB14', '10', '19', 'Euxenite', '0.1', 'Otavite', '0.67', 'Sylvite', '0.23', 'None', '0.00']
['4-GB14', '10', '20', 'Bitumens', '0.53', 'Coesite', '0.27', 'None', '0.00', 'None', '0.00']
['4-GB14', '10', '21', 'Bitumens', '0.31', 'Coesite', '0.29', 'Zeolites', '0.2', 'None', '0.00']
['4-GB14', '10', '22', 'Coesite', '0.51', 'Zeolites', '0.29', 'None', '0.00', 'None', '0.00']
['4-GB14', '11', '1', 'Coesite', '0.28', 'Sylvite', '0.18', 'Zeolites', '0.34', 'None', '0.00']
['4-GB14', '11', '2', 'Bitumens', '0.3', 'Sylvite', '0.5', 'None', '0.00', 'None', '0.00']
['6X7-JO', '2', '1', 'Bitumens', '0.18', 'Sylvite', '0.32', 'Zeolites', '0.3', 'None', '0.00']
['6X7-JO', '4', '1', 'Coesite', '0.5', 'Zeolites', '0.3', 'None', '0.00', 'None', '0.00']
['6X7-JO', '5', '1', 'Bitumens', '0.22', 'Coesite', '0.29', 'Zeolites', '0.29', 'None', '0.00']
['6X7-JO', '6', '1', 'Coesite', '0.37', 'Sylvite', '0.18', 'Zeolites', '0.25', 'None', '0.00']
['6X7-JO', '7', '1', 'Bitumens', '0.22', 'Sylvite', '0.33', 'Zeolites', '0.25', 'None', '0.00']
['6X7-JO', '7', '2', 'Cobaltite', '0.43', 'Coesite', '0.21', 'Sylvite', '0.37', 'None', '0.00']
['6X7-JO', '7', '3', 'Bitumens', '0.3', 'Sylvite', '0.29', 'Zeolites', '0.21', 'None', '0.00']
['6X7-JO', '7', '4', 'Cobaltite', '0.43', 'Coesite', '0.18', 'Sylvite', '0.2', 'Titanite', '0.19']
['6X7-JO', '7', '5', 'Bitumens', '0.18', 'Coesite', '0.42', 'Otavite', '0.41', 'None', '0.00']
['6X7-JO', '7', '6', 'Chromite', '0.23', 'Cinnabar', '0.18', 'Cobaltite', '0.19', 'Ytterbite', '0.4']
['6X7-JO', '7', '7', 'Bitumens', '0.23', 'Coesite', '0.34', 'Zeolites', '0.23', 'None', '0.00']
['6X7-JO', '7', '8', 'Sylvite', '0.32', 'Zeolites', '0.48', 'None', '0.00', 'None', '0.00']
['6X7-JO', '7', '9', 'Bitumens', '0.48', 'Sylvite', '0.32', 'None', '0.00', 'None', '0.00']
['6X7-JO', '7', '10', 'Bitumens', '0.24', 'Coesite', '0.26', 'Zeolites', '0.3', 'None', '0.00']
['6X7-JO', '7', '11', 'Bitumens', '0.32', 'Coesite', '0.32', 'Zeolites', '0.16', 'None', '0.00']
['6X7-JO', '7', '12', 'Cobaltite', '0.23', 'Sperrylite', '0.09', 'Zeolites', '0.39', 'None', '0.00']
['6X7-JO', '7', '13', 'Coesite', '0.52', 'Zeolites', '0.28', 'None', '0.00', 'None', '0.00']
['6X7-JO', '7', '14', 'Bitumens', '0.28', 'Cobaltite', '0.32', 'Coesite', '0.23', 'Zeolites', '0.17']
['6X7-JO', '8', '1', 'Bitumens', '0.31', 'Sylvite', '0.27', 'Zeolites', '0.21', 'None', '0.00']
['6X7-JO', '8', '2', 'Bitumens', '0.33', 'Coesite', '0.47', 'None', '0.00', 'None', '0.00']
['6X7-JO', '8', '3', 'Bitumens', '0.3', 'Coesite', '0.31', 'Zeolites', '0.18', 'None', '0.00']
['6X7-JO', '8', '4', 'Bitumens', '0.5', 'Sylvite', '0.3', 'None', '0.00', 'None', '0.00']
['6X7-JO', '8', '5', 'Bitumens', '0.55', 'Sylvite', '0.25', 'None', '0.00', 'None', '0.00']
['6X7-JO', '9', '1', 'Bitumens', '0.33', 'Coesite', '0.29', 'Sylvite', '0.18', 'None', '0.00']
['6X7-JO', '9', '2', 'Bitumens', '0.19', 'Sylvite', '0.27', 'Zeolites', '0.34', 'None', '0.00']
['6X7-JO', '9', '3', 'Bitumens', '0.17', 'Cobaltite', '0.34', 'Sylvite', '0.21', 'Zeolites', '0.28']
['6X7-JO', '9', '4', 'Bitumens', '0.33', 'Sylvite', '0.47', 'None', '0.00', 'None', '0.00']
['6X7-JO', '9', '5', 'Bitumens', '0.19', 'Coesite', '0.33', 'Zeolites', '0.28', 'None', '0.00']
['6X7-JO', '9', '6', 'Bitumens', '0.28', 'Sylvite', '0.52', 'None', '0.00', 'None', '0.00']
['6X7-JO', '9', '7', 'Cobaltite', '0.28', 'Coesite', '0.19', 'Sylvite', '0.25', 'Zeolites', '0.28']
['6X7-JO', '9', '8', 'Coesite', '0.32', 'Zeolites', '0.48', 'None', '0.00', 'None', '0.00']
['6X7-JO', '9', '9', 'Bitumens', '0.29', 'Coesite', '0.31', 'Sylvite', '0.2', 'None', '0.00']
['6X7-JO', '9', '10', 'Coesite', '0.21', 'Sylvite', '0.34', 'Zeolites', '0.25', 'None', '0.00']
['6X7-JO', '9', '11', 'Bitumens', '0.19', 'Sylvite', '0.3', 'Zeolites', '0.31', 'None', '0.00']
['6X7-JO', '9', '12', 'Bitumens', '0.17', 'Cobaltite', '0.42', 'Euxenite', '0.21', 'Sylvite', '0.2']
['6X7-JO', '9', '13', 'Bitumens', '0.27', 'Cobaltite', '0.32', 'Coesite', '0.23', 'Sylvite', '0.18']
['6X7-JO', '9', '14', 'Bitumens', '0.29', 'Coesite', '0.28', 'Zeolites', '0.23', 'None', '0.00']
['6X7-JO', '9', '15', 'Cobaltite', '0.26', 'Coesite', '0.24', 'Zeolites', '0.5', 'None', '0.00']
['6X7-JO', '9', '16', 'Bitumens', '0.18', 'Sylvite', '0.35', 'Zeolites', '0.27', 'None', '0.00']
['6X7-JO', '9', '17', 'Coesite', '0.56', 'Zeolites', '0.24', 'None', '0.00', 'None', '0.00']
['78TS-Q', '6', '1', 'Coesite', '0.47', 'Zeolites', '0.33', 'None', '0.00', 'None', '0.00']
['78TS-Q', '6', '2', 'Coesite', '0.33', 'Euxenite', '0.08', 'Otavite', '0.32', 'Sperrylite', '0.27']
['78TS-Q', '8', '1', 'Bitumens', '0.2', 'Sylvite', '0.32', 'Zeolites', '0.28', 'None', '0.00']
['78TS-Q', '8', '2', 'Bitumens', '0.48', 'Coesite', '0.32', 'None', '0.00', 'None', '0.00']
['78TS-Q', '8', '3', 'Coesite', '0.2', 'Sylvite', '0.29', 'Zeolites', '0.31', 'None', '0.00']
['78TS-Q', '8', '4', 'Bitumens', '0.24', 'Coesite', '0.27', 'Euxenite', '0.27', 'Zeolites', '0.23']
['78TS-Q', '8', '5', 'Coesite', '0.47', 'Zeolites', '0.33', 'None', '0.00', 'None', '0.00']
