(1,"""Catch""","""6X7-JO""",2,1,"""None""","""No Name""","""Bitumens""",0.23,"""Glossy Scordite""",0.28,"""Opulent Pyroxeres""",0.2,"""Sparkling Plagioclase""",0.28,"""None""",1)
(2,"""Catch""","""6X7-JO""",4,1,"""None""","""No Name""","""Coesite""",0.19,"""Opulent Pyroxeres""",0.48,"""Platinoid Omber""",0.32,"""None""",0,"""None""",1)
(3,"""Catch""","""6X7-JO""",5,1,"""None""","""No Name""","""Bitumens""",0.17,"""Coesite""",0.35,"""Jet Ochre""",0.18,"""Scintillating Hemorphite""",0.3,"""None""",1)
(4,"""Catch""","""6X7-JO""",6,1,"""None""","""No Name""","""Flawless Arkonor""",0.19,"""Opulent Pyroxeres""",0.34,"""Resplendant Kernite""",0.25,"""Sylvite""",0.22,"""None""",1)
(5,"""Catch""","""6X7-JO""",7,1,"""None""","""No Name""","""Bitumens""",0.2,"""Coesite""",0.3,"""Flawless Arkonor""",0.17,"""Sparkling Plagioclase""",0.33,"""None""",1)
(6,"""Catch""","""6X7-JO""",7,2,"""None""","""No Name""","""Cobaltite""",0.42,"""Coesite""",0.19,"""Resplendant Kernite""",0.18,"""Sylvite""",0.21,"""None""",1)
(7,"""Catch""","""6X7-JO""",7,3,"""None""","""No Name""","""Bitumens""",0.29,"""Flawless Arkonor""",0.3,"""Lustrous Hedbergite""",0.2,"""Zeolites""",0.21,"""None""",1)
(8,"""Catch""","""6X7-JO""",7,4,"""None""","""No Name""","""Cobaltite""",0.42,"""Coesite""",0.18,"""Resplendant Kernite""",0.2,"""Titanite""",0.19,"""None""",1)
(9,"""Catch""","""6X7-JO""",7,5,"""None""","""No Name""","""Flawless Arkonor""",0.42,"""Immaculate Jaspet""",0.18,"""Otavite""",0.41,"""None""",0,"""None""",1)
(10,"""Catch""","""6X7-JO""",7,6,"""None""","""No Name""","""Chromite""",0.19,"""Pellucid Crokite""",0.23,"""Vanadinite""",0.18,"""Ytterbite""",0.4,"""None""",1)
(11,"""Catch""","""6X7-JO""",7,7,"""None""","""No Name""","""Jet Ochre""",0.32,"""Scintillating Hemorphite""",0.24,"""Stable Veldspar""",0.21,"""Zeolites""",0.23,"""None""",1)
(12,"""Catch""","""6X7-JO""",7,8,"""None""","""No Name""","""Platinoid Omber""",0.31,"""Sparkling Plagioclase""",0.45,"""Zeolites""",0.24,"""None""",0,"""None""",1)
(13,"""Catch""","""6X7-JO""",7,9,"""None""","""No Name""","""Bitumens""",0.16,"""Glossy Scordite""",0.55,"""Scintillating Hemorphite""",0.29,"""None""",0,"""None""",1)
(14,"""Catch""","""6X7-JO""",7,10,"""None""","""No Name""","""Bitumens""",0.57,"""Brilliant Gneiss""",0.43,"""None""",0,"""None""",0,"""None""",1)
(15,"""Catch""","""6X7-JO""",7,11,"""None""","""No Name""","""Flawless Arkonor""",0.43,"""Resplendant Kernite""",0.24,"""Zeolites""",0.23,"""None""",0,"""None""",1)
(16,"""Catch""","""6X7-JO""",7,12,"""None""","""No Name""","""Cobaltite""",0.19,"""Glossy Scordite""",0.43,"""Immaculate Jaspet""",0.26,"""Sperrylite""",0.11,"""None""",1)
(17,"""Catch""","""6X7-JO""",7,13,"""None""","""No Name""","""Coesite""",0.2,"""Flawless Arkonor""",0.26,"""Platinoid Omber""",0.31,"""Resplendant Kernite""",0.22,"""None""",1)
(18,"""Catch""","""6X7-JO""",7,14,"""None""","""No Name""","""Cobaltite""",0.32,"""Cubic Bistot""",0.23,"""Dazzling Spodumain""",0.17,"""Zeolites""",0.28,"""None""",1)
(19,"""Catch""","""6X7-JO""",8,1,"""None""","""No Name""","""Cubic Bistot""",0.31,"""Opulent Pyroxeres""",0.18,"""Stable Veldspar""",0.29,"""Zeolites""",0.22,"""None""",1)
(20,"""Catch""","""6X7-JO""",8,2,"""None""","""No Name""","""Coesite""",0.19,"""Platinoid Omber""",0.35,"""Resplendant Kernite""",0.28,"""Sparkling Plagioclase""",0.18,"""None""",1)
(21,"""Catch""","""6X7-JO""",8,3,"""None""","""No Name""","""Pellucid Crokite""",0.27,"""Resplendant Kernite""",0.53,"""Zeolites""",0.2,"""None""",0,"""None""",1)
(22,"""Catch""","""6X7-JO""",8,4,"""None""","""No Name""","""Bitumens""",0.22,"""Cubic Bistot""",0.3,"""Dazzling Spodumain""",0.31,"""Opulent Pyroxeres""",0.17,"""None""",1)
(23,"""Catch""","""6X7-JO""",8,5,"""None""","""No Name""","""Bitumens""",0.21,"""Cubic Bistot""",0.22,"""Platinoid Omber""",0.32,"""Scintillating Hemorphite""",0.26,"""None""",1)
(24,"""Catch""","""6X7-JO""",9,1,"""None""","""No Name""","""Brilliant Gneiss""",0.19,"""Flawless Arkonor""",0.31,"""Jet Ochre""",0.31,"""Sylvite""",0.19,"""None""",1)
(25,"""Catch""","""6X7-JO""",9,2,"""None""","""No Name""","""Bitumens""",0.21,"""Glossy Scordite""",0.3,"""Resplendant Kernite""",0.2,"""Zeolites""",0.29,"""None""",1)
(26,"""Catch""","""6X7-JO""",9,3,"""None""","""No Name""","""Cobaltite""",0.26,"""Dazzling Spodumain""",0.29,"""Flawless Arkonor""",0.23,"""Immaculate Jaspet""",0.22,"""None""",1)
(27,"""Catch""","""6X7-JO""",9,4,"""None""","""No Name""","""Brilliant Gneiss""",0.31,"""Glossy Scordite""",0.32,"""Resplendant Kernite""",0.19,"""Sylvite""",0.18,"""None""",1)
(28,"""Catch""","""6X7-JO""",9,5,"""None""","""No Name""","""Bitumens""",0.18,"""Brilliant Gneiss""",0.51,"""Coesite""",0.31,"""None""",0,"""None""",1)
(29,"""Catch""","""6X7-JO""",9,6,"""None""","""No Name""","""Opulent Pyroxeres""",0.19,"""Platinoid Omber""",0.32,"""Scintillating Hemorphite""",0.28,"""Sylvite""",0.19,"""None""",1)
(30,"""Catch""","""6X7-JO""",9,7,"""None""","""No Name""","""Cobaltite""",0.28,"""Pellucid Crokite""",0.2,"""Platinoid Omber""",0.28,"""Sparkling Plagioclase""",0.24,"""None""",1)
(31,"""Catch""","""6X7-JO""",9,8,"""None""","""No Name""","""Glossy Scordite""",0.24,"""Pellucid Crokite""",0.33,"""Scintillating Hemorphite""",0.2,"""Zeolites""",0.26,"""None""",1)
(32,"""Catch""","""6X7-JO""",9,9,"""None""","""No Name""","""Flawless Arkonor""",0.28,"""Resplendant Kernite""",0.23,"""Scintillating Hemorphite""",0.31,"""Sylvite""",0.18,"""None""",1)
(33,"""Catch""","""6X7-JO""",9,10,"""None""","""No Name""","""Bitumens""",0.2,"""Coesite""",0.2,"""Flawless Arkonor""",0.2,"""Stable Veldspar""",0.31,"""None""",1)
(34,"""Catch""","""6X7-JO""",9,11,"""None""","""No Name""","""Bitumens""",0.22,"""Coesite""",0.54,"""Stable Veldspar""",0.23,"""None""",0,"""None""",1)
(35,"""Catch""","""6X7-JO""",9,12,"""None""","""No Name""","""Bitumens""",0.17,"""Cobaltite""",0.42,"""Euxenite""",0.21,"""Scintillating Hemorphite""",0.2,"""None""",1)
(36,"""Catch""","""6X7-JO""",9,13,"""None""","""No Name""","""Cobaltite""",0.32,"""Coesite""",0.23,"""Cubic Bistot""",0.27,"""Immaculate Jaspet""",0.18,"""None""",1)
(37,"""Catch""","""6X7-JO""",9,14,"""None""","""No Name""","""Immaculate Jaspet""",0.2,"""Scintillating Hemorphite""",0.61,"""Zeolites""",0.19,"""None""",0,"""None""",1)
(38,"""Catch""","""6X7-JO""",9,15,"""None""","""No Name""","""Cobaltite""",0.26,"""Jet Ochre""",0.24,"""Stable Veldspar""",0.5,"""None""",0,"""None""",1)
(39,"""Catch""","""6X7-JO""",9,16,"""None""","""No Name""","""Bitumens""",0.33,"""Cubic Bistot""",0.23,"""Zeolites""",0.53,"""None""",0,"""None""",1)
(40,"""Catch""","""6X7-JO""",9,17,"""None""","""No Name""","""Coesite""",0.2,"""Dazzling Spodumain""",0.26,"""Lustrous Hedbergite""",0.37,"""Pellucid Crokite""",0.17,"""None""",1)
(41,"""Catch""","""A-803L""",2,1,"""None""","""No Name""","""Dazzling Spodumain""",0.17,"""Pellucid Crokite""",0.3,"""Sparkling Plagioclase""",0.32,"""Sylvite""",0.21,"""None""",1)
(42,"""Catch""","""A-803L""",3,1,"""None""","""No Name""","""Coesite""",0.18,"""Opulent Pyroxeres""",0.17,"""Sparkling Plagioclase""",0.32,"""Zeolites""",0.33,"""None""",1)
(43,"""Catch""","""A-803L""",4,1,"""None""","""No Name""","""Coesite""",0.22,"""Jet Ochre""",0.2,"""Lustrous Hedbergite""",0.27,"""Resplendant Kernite""",0.32,"""None""",1)
(44,"""Catch""","""A-803L""",4,2,"""None""","""No Name""","""Chromite""",0.32,"""Cobaltite""",0.2,"""Cubic Bistot""",0.18,"""Flawless Arkonor""",0.3,"""None""",1)
(45,"""Catch""","""A-803L""",4,3,"""None""","""No Name""","""Brilliant Gneiss""",0.33,"""Lustrous Hedbergite""",0.33,"""Sparkling Plagioclase""",0.17,"""Zeolites""",0.17,"""None""",1)
(46,"""Catch""","""A-803L""",4,4,"""None""","""No Name""","""Cubic Bistot""",0.26,"""Dazzling Spodumain""",0.25,"""Stable Veldspar""",0.28,"""Sylvite""",0.21,"""None""",1)
(47,"""Catch""","""A-803L""",4,5,"""None""","""No Name""","""Dazzling Spodumain""",0.31,"""Opulent Pyroxeres""",0.31,"""Stable Veldspar""",0.21,"""Zeolites""",0.16,"""None""",1)
(48,"""Catch""","""A-803L""",5,1,"""None""","""No Name""","""Jet Ochre""",0.65,"""Platinoid Omber""",0.16,"""Zeolites""",0.19,"""None""",0,"""None""",1)
(49,"""Catch""","""A-803L""",5,2,"""None""","""No Name""","""Coesite""",0.22,"""Flawless Arkonor""",0.21,"""Resplendant Kernite""",0.32,"""Zeolites""",0.24,"""None""",1)
(50,"""Catch""","""A-803L""",5,3,"""None""","""No Name""","""Platinoid Omber""",0.3,"""Resplendant Kernite""",0.22,"""Sylvite""",0.26,"""Zeolites""",0.22,"""None""",1)
(51,"""Catch""","""A-803L""",7,1,"""None""","""No Name""","""Platinoid Omber""",0.22,"""Resplendant Kernite""",0.32,"""Zeolites""",0.46,"""None""",0,"""None""",1)
(52,"""Catch""","""A-803L""",7,2,"""None""","""No Name""","""Bitumens""",0.2,"""Resplendant Kernite""",0.28,"""Sparkling Plagioclase""",0.53,"""None""",0,"""None""",1)
(53,"""Catch""","""A-803L""",7,3,"""None""","""No Name""","""Coesite""",0.22,"""Cubic Bistot""",0.28,"""Flawless Arkonor""",0.21,"""Stable Veldspar""",0.29,"""None""",1)
(54,"""Catch""","""A-803L""",7,4,"""None""","""No Name""","""Bitumens""",0.2,"""Flawless Arkonor""",0.33,"""Immaculate Jaspet""",0.25,"""Platinoid Omber""",0.22,"""None""",1)
(55,"""Catch""","""A-803L""",7,5,"""None""","""No Name""","""Coesite""",0.2,"""Glossy Scordite""",0.31,"""Pellucid Crokite""",0.2,"""Sparkling Plagioclase""",0.29,"""None""",1)
(56,"""Catch""","""A-803L""",7,6,"""None""","""No Name""","""Cobaltite""",0.19,"""Immaculate Jaspet""",0.39,"""Sparkling Plagioclase""",0.32,"""Sperrylite""",0.1,"""None""",1)
(57,"""Catch""","""A-803L""",7,7,"""None""","""No Name""","""Bitumens""",0.18,"""Flawless Arkonor""",0.33,"""Lustrous Hedbergite""",0.21,"""Sylvite""",0.28,"""None""",1)
(58,"""Catch""","""A-803L""",7,8,"""None""","""No Name""","""Bitumens""",0.24,"""Cubic Bistot""",0.29,"""Dazzling Spodumain""",0.16,"""Jet Ochre""",0.31,"""None""",1)
(59,"""Catch""","""A-803L""",7,9,"""None""","""No Name""","""Cubic Bistot""",0.29,"""Glossy Scordite""",0.18,"""Platinoid Omber""",0.34,"""Sylvite""",0.19,"""None""",1)
(60,"""Catch""","""A-803L""",7,10,"""None""","""No Name""","""Coesite""",0.17,"""Flawless Arkonor""",0.21,"""Lustrous Hedbergite""",0.28,"""Opulent Pyroxeres""",0.34,"""None""",1)
(61,"""Catch""","""A-803L""",7,11,"""None""","""No Name""","""Flawless Arkonor""",0.28,"""Resplendant Kernite""",0.3,"""Sparkling Plagioclase""",0.21,"""Zeolites""",0.21,"""None""",1)
(62,"""Catch""","""A-803L""",7,12,"""None""","""No Name""","""Brilliant Gneiss""",0.28,"""Coesite""",0.24,"""Immaculate Jaspet""",0.19,"""Lustrous Hedbergite""",0.28,"""None""",1)
(63,"""Catch""","""A-803L""",7,13,"""None""","""No Name""","""Bitumens""",0.19,"""Coesite""",0.27,"""Platinoid Omber""",0.2,"""Sparkling Plagioclase""",0.33,"""None""",1)
(64,"""Catch""","""A-803L""",7,14,"""None""","""No Name""","""Bitumens""",0.28,"""Flawless Arkonor""",0.2,"""Scintillating Hemorphite""",0.32,"""Sylvite""",0.2,"""None""",1)
(65,"""Catch""","""A-803L""",7,15,"""None""","""No Name""","""Bitumens""",0.43,"""Coesite""",0.35,"""Immaculate Jaspet""",0.22,"""None""",0,"""None""",1)
(66,"""Catch""","""A-803L""",7,16,"""None""","""No Name""","""Opulent Pyroxeres""",0.26,"""Resplendant Kernite""",0.17,"""Sparkling Plagioclase""",0.35,"""Zeolites""",0.23,"""None""",1)
(67,"""Catch""","""A-803L""",7,17,"""None""","""No Name""","""Bitumens""",0.31,"""Lustrous Hedbergite""",0.2,"""Sylvite""",0.24,"""Zeolites""",0.24,"""None""",1)
(68,"""Catch""","""A-803L""",7,18,"""None""","""No Name""","""Brilliant Gneiss""",0.32,"""Pellucid Crokite""",0.29,"""Platinoid Omber""",0.22,"""Zeolites""",0.17,"""None""",1)
(69,"""Catch""","""A-803L""",8,1,"""None""","""No Name""","""Bitumens""",0.22,"""Cobaltite""",0.3,"""Dazzling Spodumain""",0.26,"""Platinoid Omber""",0.23,"""None""",1)
(70,"""Catch""","""A-803L""",8,2,"""None""","""No Name""","""Cobaltite""",0.31,"""Scintillating Hemorphite""",0.21,"""Sparkling Plagioclase""",0.47,"""None""",0,"""None""",1)
(71,"""Catch""","""A-803L""",8,3,"""None""","""No Name""","""Bitumens""",0.24,"""Coesite""",0.21,"""Flawless Arkonor""",0.35,"""Lustrous Hedbergite""",0.21,"""None""",1)
(72,"""Catch""","""A-803L""",8,4,"""None""","""No Name""","""Immaculate Jaspet""",0.35,"""Opulent Pyroxeres""",0.28,"""Stable Veldspar""",0.17,"""Sylvite""",0.2,"""None""",1)
(73,"""Catch""","""A-803L""",8,5,"""None""","""No Name""","""Cobaltite""",0.23,"""Cubic Bistot""",0.27,"""Opulent Pyroxeres""",0.4,"""Vanadinite""",0.1,"""None""",1)
(74,"""Catch""","""I-8D0G""",4,1,"""None""","""No Name""","""Flawless Arkonor""",0.5,"""Resplendant Kernite""",0.31,"""Zeolites""",0.2,"""None""",0,"""None""",1)
(75,"""Catch""","""I-8D0G""",5,1,"""None""","""No Name""","""Coesite""",0.22,"""Lustrous Hedbergite""",0.53,"""Opulent Pyroxeres""",0.26,"""None""",0,"""None""",1)
(76,"""Catch""","""I-8D0G""",6,1,"""None""","""No Name""","""Bitumens""",0.17,"""Cubic Bistot""",0.29,"""Glossy Scordite""",0.21,"""Jet Ochre""",0.32,"""None""",1)
(77,"""Catch""","""I-8D0G""",6,2,"""None""","""No Name""","""Bitumens""",0.2,"""Pellucid Crokite""",0.32,"""Scintillating Hemorphite""",0.19,"""Zeolites""",0.29,"""None""",1)
