Moon	Moon Product	Quantity	Ore TypeID	SolarSystemID	PlanetID	MoonID
1-NJLK IV - Moon 1						
	Bitumens	0.373156934977	45492	30004940	40312881	40312882
	Chromite	0.115136057138	45501	30004940	40312881	40312882
	Cobaltite	0.211707025766	45494	30004940	40312881	40312882
1-NJLK V - Moon 1						
	Bitumens	0.340644866228	45492	30004940	40312883	40312884
	Coesite	0.280998438597	45493	30004940	40312883	40312884
	Sylvite	0.178356692195	45491	30004940	40312883	40312884
1-NJLK VI - Moon 1						
	Bitumens	0.353496819735	45492	30004940	40312885	40312886
	Sylvite	0.267443567514	45491	30004940	40312885	40312886
	Zeolites	0.179059609771	45490	30004940	40312885	40312886
1-NJLK VI - Moon 2						
	Bitumens	0.155514284968	45492	30004940	40312885	40312887
	Sylvite	0.332834869623	45491	30004940	40312885	40312887
	Zeolites	0.311650872231	45490	30004940	40312885	40312887
1-NJLK VI - Moon 3						
	Coesite	0.209472537041	45493	30004940	40312885	40312888
	Sylvite	0.280815303326	45491	30004940	40312885	40312888
	Zeolites	0.309712171555	45490	30004940	40312885	40312888
1-NJLK VII - Moon 1						
	Bitumens	0.207497507334	45492	30004940	40312889	40312891
	Sylvite	0.281042426825	45491	30004940	40312889	40312891
	Zeolites	0.31146004796	45490	30004940	40312889	40312891
1-NJLK VIII - Moon 1						
	Coesite	0.24764290452	45493	30004940	40312892	40312893
	Sylvite	0.197740182281	45491	30004940	40312892	40312893
	Zeolites	0.354616910219	45490	30004940	40312892	40312893
1-NJLK VIII - Moon 2						
	Bitumens	0.336184471846	45492	30004940	40312892	40312894
	Coesite	0.17406372726	45493	30004940	40312892	40312894
	Sylvite	0.289751768112	45491	30004940	40312892	40312894
1-NJLK VIII - Moon 3						
	Coesite	0.312656581402	45493	30004940	40312892	40312895
	Sylvite	0.202986031771	45491	30004940	40312892	40312895
	Zeolites	0.284357398748	45490	30004940	40312892	40312895
1-NJLK VIII - Moon 4						
	Bitumens	0.272471278906	45492	30004940	40312892	40312896
	Coesite	0.323115646839	45493	30004940	40312892	40312896
	Sylvite	0.204413071275	45491	30004940	40312892	40312896
1-NJLK VIII - Moon 5						
	Bitumens	0.308370381594	45492	30004940	40312892	40312897
