Moon	Moon Product	Quantity	Ore TypeID	SolarSystemID	PlanetID	MoonID
4-GB14 V - Moon 1						
	Coesite	0.3123504221	45493	30002144	40136768	40136769
	Sylvite	0.2088034898	45491	30002144	40136768	40136769
	Zeolites	0.2788460851	45490	30002144	40136768	40136769
4-GB14 VI - Moon 1						
	Bitumens	0.3035674691	45492	30002144	40136770	40136771
	Coesite	0.2998958826	45493	30002144	40136770	40136771
	Zeolites	0.1965366453	45490	30002144	40136770	40136771
4-GB14 VII - Moon 1						
	Bitumens	0.2244725227	45492	30002144	40136772	40136774
	Sylvite	0.2445439696	45491	30002144	40136772	40136774
	Zeolites	0.3309835196	45490	30002144	40136772	40136774
4-GB14 VIII - Moon 1						
	Coesite	0.2555331886	45493	30002144	40136775	40136776
	Zeolites	0.5444667935	45490	30002144	40136775	40136776
4-GB14 VIII - Moon 2						
	Sylvite	0.517164886	45491	30002144	40136775	40136777
	Zeolites	0.2828351259	45490	30002144	40136775	40136777
4-GB14 VIII - Moon 3						
	Bitumens	0.4557149708	45492	30002144	40136775	40136778
	Sylvite	0.3442850411	45491	30002144	40136775	40136778
4-GB14 VIII - Moon 4						
	Bitumens	0.2274609506	45492	30002144	40136775	40136779
	Coesite	0.4826245606	45493	30002144	40136775	40136779
	Euxenite	0.2899144888	45495	30002144	40136775	40136779
4-GB14 VIII - Moon 5						
	Bitumens	0.3327156603	45492	30002144	40136775	40136780
	Coesite	0.1939727515	45493	30002144	40136775	40136780
	Sylvite	0.2733115852	45491	30002144	40136775	40136780
4-GB14 VIII - Moon 6						
	Sylvite	0.505117774	45491	30002144	40136775	40136781
	Zeolites	0.2948822081	45490	30002144	40136775	40136781
4-GB14 VIII - Moon 7						
	Coesite	0.2878114879	45493	30002144	40136775	40136782
	Sylvite	0.1770891547	45491	30002144	40136775	40136782
	Zeolites	0.3350993693	45490	30002144	40136775	40136782
4-GB14 VIII - Moon 8						
	Bitumens	0.2869328558	45492	30002144	40136775	40136783
	Sylvite	0.3154310286	45491	30002144	40136775	40136783
	Zeolites	0.1976361275	45490	30002144	40136775	40136783
4-GB14 VIII - Moon 9						
	Bitumens	0.2016153634	45492	30002144	40136775	40136784
	Coesite	0.3221628368	45493	30002144	40136775	40136784
	Zeolites	0.2762218118	45490	30002144	40136775	40136784
4-GB14 VIII - Moon 10						
	Bitumens	0.2234743685	45492	30002144	40136775	40136785
	Sylvite	0.2519018054	45491	30002144	40136775	40136785
	Zeolites	0.3246238232	45490	30002144	40136775	40136785
4-GB14 VIII - Moon 11						
	Coesite	0.170543164	45493	30002144	40136775	40136786
	Sylvite	0.3224220276	45491	30002144	40136775	40136786
	Zeolites	0.3070347905	45490	30002144	40136775	40136786
4-GB14 VIII - Moon 12						
	Coesite	0.4289033413	45493	30002144	40136775	40136787
	Euxenite	0.1718073338	45495	30002144	40136775	40136787
	Otavite	0.09928933531	45498	30002144	40136775	40136787
4-GB14 VIII - Moon 13						
	Bitumens	0.2975882888	45492	30002144	40136775	40136788
	Sylvite	0.5024117231	45491	30002144	40136775	40136788
4-GB14 VIII - Moon 14						
	Bitumens	0.660746038	45492	30002144	40136775	40136789
