Horizon started successfully.
Horizon started successfully.
[2019-05-18 03:00:05][3136] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:00:06][3136] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:00:06][3137] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:00:07][3137] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:00:07][3138] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:00:08][3172] Processing: App\Jobs\ProcessWalletTransactionJob
[2019-05-18 03:00:08][3172] Processing: App\Jobs\ProcessWalletTransactionJob
[2019-05-18 03:00:08][3138] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:00:08][3139] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:00:09][3172] Processing: App\Jobs\ProcessWalletTransactionJob
[2019-05-18 03:00:09][3172] Failed:     App\Jobs\ProcessWalletTransactionJob
[2019-05-18 03:00:13][3139] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:00:13][3140] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:00:18][3140] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:00:18][3141] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:00:24][3141] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:00:24][3142] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:00:31][3142] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:00:31][3143] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:00:39][3143] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:00:39][3144] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:00:44][3144] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:00:44][3145] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:00:53][3145] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:00:53][3146] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:01:00][3146] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:01:00][3147] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:01:05][3147] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:01:05][3148] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:01:10][3148] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:01:10][3149] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:01:16][3149] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:01:16][3150] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:01:20][3150] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:01:20][3151] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:01:25][3151] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:01:25][3152] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:01:30][3152] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:01:30][3153] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:01:36][3153] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:01:36][3154] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:01:41][3154] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:01:41][3155] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:01:46][3155] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:01:46][3156] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:01:51][3156] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:01:51][3157] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:01:57][3157] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:01:57][3158] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:02:01][3158] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:02:01][3159] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:02:06][3159] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:02:06][3160] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:02:12][3160] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:02:12][3161] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:02:18][3161] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:02:18][3162] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 03:02:23][3162] Processed:  App\Jobs\ProcessWalletJournalJob
